policy_holder_id,national_id,first_name,last_name,date_of_birth,gender,email,phone_number,address_line1,address_line2,city,state,country,marital_status,occupation,monthly_income,annual_income,credit_rating,credit_score,years_with_company,has_driving_license,has_defensive_license,is_medical_license_valid,is_active
ZW-PH-3750214104,58-728558H31,Ropafadzo,Chipanga,1947-03-12,F,ropafadzo.chipanga16@yahoo.com,+263712995718,93990 Robert Prairie Suite 435,,Marondera,MASHONALAND_EAST,Zimbabwe,DIVORCED,EMPLOYED,410.85,4930.20,GOOD,650,0,True,False,True,True
ZW-PH-4234404631,78-006026R73,Chiedza,Mawere,1961-06-06,F,chiedza.mawere441@yahoo.com,+263784607867,6247 Hickman Cliffs,Apt. 799,Mount Darwin,MASHONALAND_CENTRAL,Zimbabwe,MARRIED,EMPLOYED,2417.26,29007.12,GOOD,650,5,True,False,True,True
ZW-PH-9821733085,53-963526H83,James,Khumalo,1960-10-31,M,james.khumalo624@gmail.com,+263781224576,83842 Ibarra Gardens,,Makuti,MASHONALAND_WEST,Zimbabwe,DIVORCED,EMPLOYED,1548.87,18586.44,GOOD,650,2,True,False,True,True
ZW-PH-2977214415,98-662644I25,Munyaradzi,Shumba,1983-10-02,M,munyaradzi.shumba8@gmail.com,+263784264603,2784 Elizabeth Plaza Suite 124,,Rusape,MANICALAND,Zimbabwe,MARRIED,EMPLOYED,916.77,11001.24,GOOD,650,11,True,False,True,True
ZW-PH-5937882116,51-919463N82,Nobuhle,Dube,2006-09-05,F,nobuhle.dube544@gmail.com,+263735333315,82449 Jennifer Ford,,Bulawayo,BULAWAYO,Zimbabwe,MARRIED,STUDENT,258.63,3103.56,FAIR,550,2,True,False,True,True
ZW-PH-9516594889,78-043205J40,David,Watts,1976-09-10,M,david.watts461@gmail.com,+263788088654,740 Cynthia Village Suite 005,,Marondera,MASHONALAND_EAST,Zimbabwe,DIVORCED,SELF_EMPLOYED,2327.19,27926.28,GOOD,650,5,True,False,True,True
ZW-PH-7868765643,71-062769E35,Lungile,Chikwava,1974-08-12,M,lungile.chikwava659@mail.com,+263779366170,427 Hoffman Creek,,Marondera,MASHONALAND_EAST,Zimbabwe,MARRIED,EMPLOYED,2311.25,27735.00,GOOD,650,0,True,False,True,True
ZW-PH-8399423598,58-511669X44,Munyaradzi,Makoni,1994-02-20,M,munyaradzi.makoni926@mail.com,+263779677229,280 Aguilar Drive,,Macheke,MASHONALAND_EAST,Zimbabwe,SINGLE,EMPLOYED,2012.68,24152.16,GOOD,650,3,True,False,True,True
ZW-PH-8617400285,77-098894M52,Christine,Rusere,1984-07-24,F,christine.rusere940@outlook.com,+263713098671,04505 Evelyn Shores Apt. 586,,Victoria Falls,MATABELELAND_NORTH,Zimbabwe,DIVORCED,SELF_EMPLOYED,2652.16,31825.92,GOOD,730,3,True,True,True,True
ZW-PH-2073767730,65-720351V09,Anesu,Nyathi,2001-04-05,M,anesu.nyathi383@mail.com,+263719575080,22602 Patton Loop,,Binga,MATABELELAND_NORTH,Zimbabwe,SINGLE,EMPLOYED,1632.46,19589.52,FAIR,610,4,True,False,True,True
ZW-PH-6372044912,69-595271L80,John,Gumede,1977-06-16,M,john.gumede509@yahoo.com,+263782744493,2160 Walker Viaduct,,Epworth,HARARE,Zimbabwe,MARRIED,EMPLOYED,1846.9,22162.8,GOOD,680,7,True,True,True,True
ZW-PH-4013329015,92-638691T64,Grace,Chihuri,1981-02-08,F,grace.chihuri381@outlook.com,+263770733566,4330 Raymond Harbors Apt. 458,Suite 850,Harare,HARARE,Zimbabwe,MARRIED,EMPLOYED,297.42,3569.04,GOOD,650,1,True,False,False,True
ZW-PH-8037444513,92-305887W67,Patricia,Moyo,1989-05-12,F,patricia.moyo627@yahoo.com,+263771217053,2940 Candace Key,,Bulawayo,BULAWAYO,Zimbabwe,DIVORCED,EMPLOYED,482.07,5784.84,GOOD,650,3,True,False,True,True
ZW-PH-8097225608,95-295201R26,Elizabeth,Gwaze,1971-02-03,F,elizabeth.gwaze846@gmail.com,+263715191676,9816 Jonathan Station Suite 088,,Chimanimani,MANICALAND,Zimbabwe,DIVORCED,EMPLOYED,1356.59,16279.08,GOOD,650,1,True,False,True,True
ZW-PH-7454309592,72-913534I41,Memory,Tshuma,1979-03-29,F,memory.tshuma195@outlook.com,+263712362813,6159 Alvarado Crossing,,Macheke,MASHONALAND_EAST,Zimbabwe,MARRIED,EMPLOYED,1155.93,13871.16,GOOD,650,10,True,False,True,True
ZW-PH-0785181933,86-532345T61,Mary,Chipunza,1977-12-10,F,mary.chipunza47@gmail.com,+263713739715,465 Terry Plaza Apt. 366,,Chinhoyi,MASHONALAND_WEST,Zimbabwe,MARRIED,SELF_EMPLOYED,2240.0,26880.0,GOOD,650,2,True,False,True,True
ZW-PH-6479870123,80-269520P16,Lindiwe,Mutamangira,1976-05-08,F,lindiwe.mutamangira423@yahoo.com,+263731609103,946 Kevin Fords,,Ruwa,HARARE,Zimbabwe,MARRIED,EMPLOYED,238.26,2859.12,GOOD,680,1,True,True,True,True
ZW-PH-0909672825,67-529222W44,Siphiwe,Jordan,1949-08-13,F,siphiwe.jordan298@yahoo.com,+263782558337,7738 Leon Underpass Apt. 148,,Kwekwe,MIDLANDS,Zimbabwe,MARRIED,RETIRED,635.83,7629.96,FAIR,590,4,True,False,True,True
ZW-PH-9934999805,76-684672J69,Daniel,Matanga,1975-01-11,M,daniel.matanga957@yahoo.com,+263716278094,34332 Brandon Mountains Apt. 769,,Victoria Falls,MATABELELAND_NORTH,Zimbabwe,MARRIED,EMPLOYED,1150.59,13807.08,GOOD,680,0,True,True,True,True
ZW-PH-7937066013,61-032616U88,Lindiwe,Chipunza,1974-08-27,F,lindiwe.chipunza458@yahoo.com,+263780611322,676 Dylan Spurs,,Triangle,MASVINGO,Zimbabwe,DIVORCED,EMPLOYED,1359.69,16316.28,GOOD,650,6,True,False,True,True
ZW-PH-5125058454,98-562278C55,Rachel,Takaendesa,1947-12-13,F,rachel.takaendesa875@outlook.com,+263780505551,63287 Angela Vista,,Hwange,MATABELELAND_NORTH,Zimbabwe,MARRIED,RETIRED,769.3,9231.6,FAIR,590,2,True,False,False,True
ZW-PH-1987947432,52-211679L93,Rutendo,Nyoni,1956-05-09,F,rutendo.nyoni542@mail.com,+263733665631,2788 Dodson Mills,,Bulawayo,BULAWAYO,Zimbabwe,MARRIED,RETIRED,112.61,1351.32,FAIR,620,15,True,True,False,True
ZW-PH-3162309896,78-570742G77,James,Salazar,1960-03-13,M,james.salazar243@outlook.com,+263775287356,727 Green Gateway Suite 873,,Gwanda,MATABELELAND_SOUTH,Zimbabwe,SINGLE,RETIRED,522.74,6272.88,FAIR,590,0,True,False,True,True
ZW-PH-0856229392,59-895951H23,Mary,Hill,1983-08-09,F,mary.hill895@gmail.com,+263719807126,434 Flores Plains,,Triangle,MASVINGO,Zimbabwe,MARRIED,EMPLOYED,543.2,6518.4,GOOD,650,9,True,False,True,True
ZW-PH-5259374774,82-848773G34,Grace,Miller,1969-05-12,F,grace.miller389@yahoo.com,+263777055721,62316 Rivera Mountain,,Chiredzi,MASVINGO,Zimbabwe,MARRIED,UNEMPLOYED,27.6,331.2,FAIR,590,2,True,False,True,True
ZW-PH-5649195262,58-827053T69,Takudzwa,Hadebe,1949-08-08,M,takudzwa.hadebe18@outlook.com,+263736054075,36690 Woods Knoll Suite 668,,Norton,HARARE,Zimbabwe,WIDOWED,SELF_EMPLOYED,2691.13,32293.56,GOOD,730,0,True,True,True,True
ZW-PH-9850939577,74-346708U75,Lungile,Tshuma,1972-01-03,M,lungile.tshuma701@gmail.com,+263718929652,3467 Paul Skyway,,Bulawayo,BULAWAYO,Zimbabwe,WIDOWED,EMPLOYED,1773.3,21279.6,GOOD,650,7,True,False,True,True
ZW-PH-2023713309,56-483793Y36,Richard,Biti,1953-10-24,M,richard.biti818@outlook.com,+263734394660,272 Rebecca Ramp Apt. 162,,Marondera,MASHONALAND_EAST,Zimbabwe,MARRIED,RETIRED,356.37,4276.44,FAIR,590,0,True,False,True,True
ZW-PH-9746410383,68-477592Q13,Siyabonga,Mudzingwa,1979-07-24,M,siyabonga.mudzingwa258@outlook.com,+263772211227,04653 Murphy Trace Suite 464,Apt. 708,Chinhoyi,MASHONALAND_WEST,Zimbabwe,MARRIED,EMPLOYED,260.4,3124.8,GOOD,680,2,True,True,True,True
ZW-PH-4626770944,65-327391R17,Tariro,Zungu,1988-11-19,F,tariro.zungu690@mail.com,+263719474268,3100 James Brooks,,Mount Darwin,MASHONALAND_CENTRAL,Zimbabwe,MARRIED,SELF_EMPLOYED,2473.2,29678.4,GOOD,650,6,True,False,True,True
ZW-PH-4919134244,93-693710H55,Grace,Phiri,1950-08-11,F,grace.phiri303@gmail.com,+263774375530,27193 Lyons Trafficway,,Plumtree,MATABELELAND_SOUTH,Zimbabwe,MARRIED,SELF_EMPLOYED,680.44,8165.28,GOOD,650,4,True,False,True,True
ZW-PH-8134285656,71-592416N37,Michelle,Dube,1963-03-12,F,michelle.dube819@gmail.com,+263774402277,99124 Beth Inlet Suite 631,,Victoria Falls,MATABELELAND_NORTH,Zimbabwe,SINGLE,EMPLOYED,451.53,5418.36,GOOD,650,3,True,False,True,True
ZW-PH-5644741572,58-544599F54,Rachel,Mavhima,1968-07-09,F,rachel.mavhima987@mail.com,+263771868941,49190 Patel Shore,,Makuti,MASHONALAND_WEST,Zimbabwe,SINGLE,EMPLOYED,471.08,5652.96,GOOD,650,3,True,False,True,True
ZW-PH-6788555192,84-247628B43,Sandra,Magura,1960-08-29,F,sandra.magura170@mail.com,+263714972853,85067 Ryan Lake Suite 262,,Norton,HARARE,Zimbabwe,MARRIED,EMPLOYED,462.68,5552.16,GOOD,650,8,True,False,True,True
ZW-PH-0524228355,59-524468C47,Joseph,Mpofu,2004-12-08,M,joseph.mpofu871@outlook.com,+263784458809,877 Petersen Ramp Suite 531,,Kariba,MASHONALAND_WEST,Zimbabwe,MARRIED,STUDENT,38.07,456.84,FAIR,550,8,True,False,True,True
ZW-PH-6068941037,60-880306U13,Christopher,Takaendesa,1954-09-18,M,christopher.takaendesa532@yahoo.com,+263787740020,3799 Rogers Park Suite 273,,Chimanimani,MANICALAND,Zimbabwe,SINGLE,SELF_EMPLOYED,916.22,10994.64,GOOD,650,20,True,False,True,True
ZW-PH-8826136772,93-428117L93,Elizabeth,Madziva,1965-02-24,F,elizabeth.madziva869@gmail.com,+263772626729,5494 Zachary Field Apt. 367,,Makuti,MASHONALAND_WEST,Zimbabwe,SINGLE,EMPLOYED,1603.73,19244.76,GOOD,650,6,True,False,True,True
ZW-PH-8536860678,87-020075U77,Tafadzwa,Moyo,1948-12-01,M,tafadzwa.moyo998@yahoo.com,+263737056235,777 Christopher Forges,,Bulawayo,BULAWAYO,Zimbabwe,SINGLE,EMPLOYED,1507.27,18087.24,GOOD,650,17,True,False,True,True
ZW-PH-4532157250,83-582378X87,Patricia,Mawere,2004-11-21,F,patricia.mawere57@outlook.com,+263713452964,349 Kennedy Pines Suite 685,Suite 744,Shamva,MASHONALAND_CENTRAL,Zimbabwe,SINGLE,STUDENT,197.42,2369.04,FAIR,580,0,True,True,True,True
ZW-PH-3997757190,86-359189M04,Nyasha,Chikwanha,1949-04-24,F,nyasha.chikwanha476@yahoo.com,+263787304327,13518 James Streets Suite 498,,Masvingo,MASVINGO,Zimbabwe,MARRIED,SELF_EMPLOYED,3742.23,44906.76,GOOD,700,6,True,False,True,True
ZW-PH-8773202751,55-028484X00,Tendai,Carlson,1959-06-08,M,tendai.carlson949@outlook.com,+263776350612,43524 Jean Crossroad,,Chimanimani,MANICALAND,Zimbabwe,MARRIED,EMPLOYED,907.27,10887.24,GOOD,650,17,True,False,True,True
ZW-PH-1469059091,70-179302F04,Sharon,Nkomo,1994-09-12,F,sharon.nkomo134@yahoo.com,+263735501710,08427 Monique Ports Suite 777,,Chitungwiza,HARARE,Zimbabwe,MARRIED,EMPLOYED,475.8,5709.6,GOOD,650,6,True,False,True,True
ZW-PH-9503747353,77-121280T66,Richard,Peterson,1956-11-22,M,richard.peterson646@yahoo.com,+263734502118,7116 Jones Roads,,Makuti,MASHONALAND_WEST,Zimbabwe,SINGLE,SELF_EMPLOYED,395.59,4747.08,GOOD,650,3,True,False,True,False
ZW-PH-3402250921,86-873881S37,Tapiwa,Chipanga,1956-09-11,M,tapiwa.chipanga556@mail.com,+263789079551,29413 Angela Mall,,Chitungwiza,HARARE,Zimbabwe,MARRIED,EMPLOYED,2499.09,29989.08,GOOD,680,1,False,True,True,True
ZW-PH-9906992591,69-397464K19,Sandra,Chikwanha,1963-02-26,F,sandra.chikwanha872@mail.com,+263782513617,677 Dalton Meadow,,Bulawayo,BULAWAYO,Zimbabwe,DIVORCED,SELF_EMPLOYED,4324.25,51891.00,GOOD,700,2,False,False,True,True
ZW-PH-3758056409,53-379843R38,Angela,Mpofu,1962-05-31,F,angela.mpofu910@yahoo.com,+263771082390,909 Stacey Fords Apt. 412,,Bulawayo,BULAWAYO,Zimbabwe,MARRIED,SELF_EMPLOYED,2316.16,27793.92,GOOD,650,1,True,False,True,True
ZW-PH-6333104285,85-813426T40,Munyaradzi,Mlambo,1946-02-05,M,munyaradzi.mlambo94@outlook.com,+263771208334,81206 Norris Mountains,,Makuti,MASHONALAND_WEST,Zimbabwe,MARRIED,RETIRED,746.41,8956.92,FAIR,590,0,True,False,True,True
ZW-PH-9496829903,65-409759Z59,Christopher,Nkomo,1973-10-07,M,christopher.nkomo81@mail.com,+263771719981,34471 Sandra Turnpike Apt. 618,,Mount Darwin,MASHONALAND_CENTRAL,Zimbabwe,WIDOWED,EMPLOYED,1473.28,17679.36,GOOD,650,3,True,False,True,True
ZW-PH-7980832460,86-778882U46,Michelle,Moyo,1963-06-24,F,michelle.moyo51@yahoo.com,+263711466438,242 Brian Turnpike,Suite 994,Bulawayo,BULAWAYO,Zimbabwe,MARRIED,SELF_EMPLOYED,695.72,8348.64,GOOD,650,18,True,False,True,True
ZW-PH-9624494538,82-707475S01,Rutendo,Mhlanga,1961-10-08,F,rutendo.mhlanga651@mail.com,+263778249728,74648 Kim Rapid Apt. 659,,Marondera,MASHONALAND_EAST,Zimbabwe,MARRIED,EMPLOYED,1215.95,14591.40,GOOD,650,3,True,False,True,True
ZW-PH-9985526432,58-660283W64,Tapiwa,Banda,1997-07-12,M,tapiwa.banda524@gmail.com,+263738423565,13990 Johnston Track Apt. 787,,Norton,HARARE,Zimbabwe,MARRIED,EMPLOYED,709.11,8509.32,GOOD,650,3,True,False,True,True
ZW-PH-1287163037,76-475983W25,Sharon,Shumba,1993-04-02,F,sharon.shumba483@gmail.com,+263739658881,96717 Ortiz Islands Apt. 256,,Chiredzi,MASVINGO,Zimbabwe,MARRIED,SELF_EMPLOYED,3060.16,36721.92,GOOD,700,5,True,False,True,True
ZW-PH-7470664930,69-481939O18,Memory,Macheka,1979-03-06,F,memory.macheka591@yahoo.com,+263777461602,6807 Leonard Islands Apt. 680,,Makuti,MASHONALAND_WEST,Zimbabwe,MARRIED,SELF_EMPLOYED,2980.34,35764.08,GOOD,730,3,True,True,True,True
ZW-PH-7175136082,69-182275K46,Munyaradzi,Ngwenya,2006-05-17,M,munyaradzi.ngwenya230@yahoo.com,+263773931994,0385 Garrett Trace Apt. 348,,Binga,MATABELELAND_NORTH,Zimbabwe,SINGLE,STUDENT,220.08,2640.96,FAIR,550,0,True,False,True,False
ZW-PH-1596420015,76-662618D56,Richard,Chipunza,2007-04-04,M,richard.chipunza303@mail.com,+263781111252,7710 Jennifer Inlet,,Epworth,HARARE,Zimbabwe,SINGLE,STUDENT,125.03,1500.36,FAIR,550,0,True,False,True,True
ZW-PH-8644811798,93-370708V63,Daniel,Ndlovu,1991-06-07,M,daniel.ndlovu279@mail.com,+263739273314,613 Steven Crest,,Chiredzi,MASVINGO,Zimbabwe,SINGLE,UNEMPLOYED,14.8,177.6,FAIR,620,0,True,True,True,True
ZW-PH-8590618880,76-406085X55,Nyasha,Gumede,1968-10-25,F,nyasha.gumede153@mail.com,+263785664746,4846 Baird Gardens,,Bindura,MASHONALAND_CENTRAL,Zimbabwe,DIVORCED,EMPLOYED,2183.92,26207.04,GOOD,650,3,True,False,True,True
ZW-PH-6717238925,97-614500T96,Lindiwe,Gumbo,1966-10-27,F,lindiwe.gumbo734@mail.com,+263776438883,263 Michelle Harbor Suite 584,,Bulawayo,BULAWAYO,Zimbabwe,MARRIED,EMPLOYED,1255.92,15071.04,GOOD,650,3,True,False,True,False
ZW-PH-8166384662,90-857469E90,Tatenda,Mpofu,1991-06-24,M,tatenda.mpofu749@yahoo.com,+263715459796,4997 Sean Orchard,,Chinhoyi,MASHONALAND_WEST,Zimbabwe,SINGLE,EMPLOYED,2160.05,25920.60,GOOD,650,2,True,False,True,True
ZW-PH-8850161712,63-623696F56,Tariro,Madziva,1981-06-30,F,tariro.madziva899@outlook.com,+263787755976,8867 Kane Square Apt. 963,,Kwekwe,MIDLANDS,Zimbabwe,MARRIED,SELF_EMPLOYED,1599.73,19196.76,GOOD,650,15,True,False,True,True
ZW-PH-4909710221,92-034769B02,Chiedza,Mhuru,1985-09-14,F,chiedza.mhuru302@yahoo.com,+263738976756,57662 Hanna Crossroad Suite 171,,Triangle,MASVINGO,Zimbabwe,SINGLE,SELF_EMPLOYED,3736.54,44838.48,GOOD,700,1,True,False,True,False
ZW-PH-6496696399,83-210545C38,Chiedza,Mpofu,1998-11-16,F,chiedza.mpofu118@gmail.com,+263783296457,26217 Morgan Square Suite 158,,Bulawayo,BULAWAYO,Zimbabwe,MARRIED,SELF_EMPLOYED,3183.03,38196.36,GOOD,700,4,True,False,True,True
ZW-PH-7552236406,99-500678N82,Angela,Shumba,1958-10-31,F,angela.shumba183@gmail.com,+263736971430,7809 Jimmy Spur Suite 316,,Bulawayo,BULAWAYO,Zimbabwe,MARRIED,RETIRED,430.5,5166.0,FAIR,590,0,True,False,True,True
ZW-PH-2772981162,92-012778J91,Tapiwa,Mkhize,1964-04-01,M,tapiwa.mkhize313@gmail.com,+263789081053,172 Berger Cape,,Kariba,MASHONALAND_WEST,Zimbabwe,MARRIED,EMPLOYED,866.62,10399.44,GOOD,650,14,True,False,True,True
ZW-PH-6344741602,68-693463S15,Lungile,Mazibuko,1966-07-31,M,lungile.mazibuko138@outlook.com,+263789137762,45562 Amanda Port Apt. 221,,Gweru,MIDLANDS,Zimbabwe,SINGLE,SELF_EMPLOYED,1365.83,16389.96,GOOD,650,2,True,False,True,True
ZW-PH-5419697432,66-594732Y58,Tinashe,Takaendesa,1962-04-01,M,tinashe.takaendesa776@yahoo.com,+263774535688,379 Jesse Route Suite 740,,Ruwa,HARARE,Zimbabwe,DIVORCED,SELF_EMPLOYED,3213.39,38560.68,GOOD,700,1,True,False,True,True
ZW-PH-1062137128,66-553358C53,Ropafadzo,Matanga,1974-11-03,F,ropafadzo.matanga451@yahoo.com,+263775384465,8217 Huerta Hills Suite 474,,Triangle,MASVINGO,Zimbabwe,MARRIED,UNEMPLOYED,44.08,528.96,FAIR,590,18,True,False,True,True
ZW-PH-6273452312,66-954968X62,Nyasha,Macheka,1966-10-10,F,nyasha.macheka639@yahoo.com,+263712644241,7136 Andrews Squares,Suite 064,Chitungwiza,HARARE,Zimbabwe,SINGLE,EMPLOYED,1519.02,18228.24,GOOD,650,4,True,False,True,True
ZW-PH-4282841775,50-876530Q49,Rumbidzai,Zungu,1996-08-30,F,rumbidzai.zungu261@yahoo.com,+263737357760,097 Parsons Forks,,Plumtree,MATABELELAND_SOUTH,Zimbabwe,DIVORCED,EMPLOYED,2218.83,26625.96,GOOD,650,5,True,False,True,False
ZW-PH-3567190019,76-551549S37,Siyabonga,Chimombe,1985-03-10,M,siyabonga.chimombe805@mail.com,+263778674612,39421 Kyle Mill Apt. 952,,Chinhoyi,MASHONALAND_WEST,Zimbabwe,MARRIED,SELF_EMPLOYED,1380.12,16561.44,GOOD,650,1,True,False,True,True
ZW-PH-5570028939,78-089517Q52,Tapiwa,Chihuri,1961-10-25,M,tapiwa.chihuri416@mail.com,+263776369023,5623 Kristin Wells,,Chipinge,MANICALAND,Zimbabwe,DIVORCED,EMPLOYED,1709.2,20510.4,GOOD,650,7,True,False,True,True
ZW-PH-3950820680,84-856957Y37,Brian,Tshuma,2007-12-16,M,brian.tshuma820@yahoo.com,+263738842372,842 Sloan Orchard Suite 517,Apt. 236,Hwange,MATABELELAND_NORTH,Zimbabwe,SINGLE,STUDENT,151.87,1822.44,FAIR,550,0,True,False,True,True
ZW-PH-2507455361,59-710940R98,Rutendo,Biti,1996-05-16,F,rutendo.biti408@outlook.com,+263786498849,60481 Richardson Summit Suite 965,Apt. 370,Shurugwi,MIDLANDS,Zimbabwe,DIVORCED,EMPLOYED,1895.36,22744.32,GOOD,650,1,True,False,True,True
